"horodateur","books-read-per-week","physical-books-or-ebooks","daily-favorite-topics-to-read","happy","sad","surprised","fear","angry","disgust"
"2023/04/13 2:38:30 PM UTC+3","8","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Romantik / Romance","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Gizem / Mystery;Hatıralar / Memories;İşletme / Business;Klasik / Classic;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Spor Dalları / Sports;Şiir / Poetry","Biyografi / Biography;Felsefe / Philosophy;Hatıralar / Memories;Kişisel Yardımı / Personal Assistance;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilim / Science;Bilimkurgu / Sci-fi;Felsefe / Philosophy;Klasik / Classic;Spor Dalları / Sports","Bilim / Science;Bilimkurgu / Sci-fi;Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Suç / Crime","Kişisel Yardımı / Personal Assistance;Korku / Horror;Kurgu / Fiction;Maneviyat / Spriritual;Şiir / Poetry;Suç / Crime;Yemek Kitapları / Cookbooks","Korku / Horror;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology"
"2023/04/14 3:06:52 PM UTC+3","1","fiziksel kitapları / physical books","Psikoloji / Psychology","Bilim / Science;Çizgi roman / Comic","Maneviyat / Spriritual","Biyografi / Biography","Korku / Horror;Suç / Crime","Psikoloji / Psychology","Psikoloji / Psychology"
"2023/04/14 3:09:36 PM UTC+3","8","e-kitapları / e-books","Bilim / Science;Maneviyat / Spriritual;Spor Dalları / Sports;Tarih / History","Maneviyat / Spriritual","Korku / Horror;Kurgu / Fiction","Bilim / Science","Çizgi roman / Comic","Maneviyat / Spriritual","Kurgu / Fiction"
"2023/04/14 3:09:52 PM UTC+3","5","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Hatıralar / Memories;İşletme / Business;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Seyahat / Travel;Şiir / Poetry;Suç / Crime;Tarih / History","Fantezi / Fantasy;Romantik / Romance;Seyahat / Travel","Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilim / Science;Bilimkurgu / Sci-fi","Maneviyat / Spriritual;Psikoloji / Psychology","Hatıralar / Memories;Maneviyat / Spriritual;Psikoloji / Psychology","Suç / Crime"
"2023/04/14 3:10:17 PM UTC+3","6","e-kitapları / e-books","Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Romantik / Romance","Çizgi roman / Comic;Fantezi / Fantasy;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery","Bilimkurgu / Sci-fi;Gizem / Mystery;Suç / Crime","Çizgi roman / Comic;Fantezi / Fantasy","Gerilim / Thriller","Hatıralar / Memories;Kurgu / Fiction"
"2023/04/14 3:12:22 PM UTC+3","2","fiziksel kitapları / physical books","Bilim / Science;Fantezi / Fantasy;Kurgu / Fiction;Maneviyat / Spriritual","Korku / Horror","Maneviyat / Spriritual","Fantezi / Fantasy","Korku / Horror","Korku / Horror;Maneviyat / Spriritual","Seyahat / Travel"
"2023/04/14 3:19:16 PM UTC+3","1","e-kitapları / e-books","Bilim / Science;Maneviyat / Spriritual","Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual","Bilim / Science;Maneviyat / Spriritual;Romantik / Romance","Gizem / Mystery","Felsefe / Philosophy","Çizgi roman / Comic;Romantik / Romance","Gerilim / Thriller"
"2023/04/14 3:30:07 PM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology;Spor Dalları / Sports","Bilim / Science;İşletme / Business;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology;Seyahat / Travel;Spor Dalları / Sports","Psikoloji / Psychology","Bilim / Science","Maneviyat / Spriritual","Hatıralar / Memories","Yemek Kitapları / Cookbooks"
"2023/04/14 3:30:38 PM UTC+3","3","fiziksel kitapları / physical books","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Korku / Horror;Kurgu / Fiction;Romantik / Romance;Suç / Crime;Tarih / History","Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Tarih / History","Yemek Kitapları / Cookbooks","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Suç / Crime;Tarih / History","İşletme / Business;Spor Dalları / Sports","Romantik / Romance","İşletme / Business"
"2023/04/14 3:37:06 PM UTC+3","2","e-kitapları / e-books","Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Romantik / Romance;Suç / Crime","Çizgi roman / Comic;Fantezi / Fantasy;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery;Suç / Crime","Çizgi roman / Comic;Fantezi / Fantasy","Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Romantik / Romance","Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery;Suç / Crime"
